INFO 2023-05-07 20:35:32,861 autoreload Watching for file changes with StatReloader
DEBUG 2023-05-07 20:35:32,862 autoreload Waiting for apps ready_event.
DEBUG 2023-05-07 20:35:33,084 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2023-05-07 20:35:33,104 autoreload Watching dir /home/sorour/.local/lib/python3.10/site-packages/rest_framework/templates with glob **/*.
DEBUG 2023-05-07 20:35:33,105 autoreload Watching dir /home/sorour/.local/lib/python3.10/site-packages/django_filters/templates with glob **/*.
DEBUG 2023-05-07 20:35:33,107 autoreload Watching dir /mnt/c/Users/moham/Desktop/MarketX/MarketX-backend/ecommerce_api_project/locale with glob **/*.mo.
DEBUG 2023-05-07 20:35:33,109 autoreload Watching dir /mnt/c/Users/moham/Desktop/MarketX/MarketX-backend/ecommerce_api_project/my_ecommerce_api/locale with glob **/*.mo.
DEBUG 2023-05-07 20:35:33,111 autoreload Watching dir /home/sorour/.local/lib/python3.10/site-packages/rest_framework/locale with glob **/*.mo.
DEBUG 2023-05-07 20:35:33,111 autoreload Watching dir /home/sorour/.local/lib/python3.10/site-packages/rest_framework_simplejwt/locale with glob **/*.mo.
DEBUG 2023-05-07 20:35:33,112 autoreload Watching dir /home/sorour/.local/lib/python3.10/site-packages/django_filters/locale with glob **/*.mo.
DEBUG 2023-05-07 20:35:33,113 autoreload Watching dir /home/sorour/.local/lib/python3.10/site-packages/corsheaders/locale with glob **/*.mo.
DEBUG 2023-05-07 20:35:33,284 autoreload File /home/sorour/.local/lib/python3.10/site-packages/psycopg2/errors.py first seen with mtime 1680079525.4987493
DEBUG 2023-05-07 20:35:33,285 autoreload File /home/sorour/.local/lib/python3.10/site-packages/markdown/blockprocessors.py first seen with mtime 1682512919.1465888
DEBUG 2023-05-07 20:35:33,285 autoreload File /home/sorour/.local/lib/python3.10/site-packages/rest_framework_simplejwt/__init__.py first seen with mtime 1680076367.4496355
DEBUG 2023-05-07 20:35:33,286 autoreload File /usr/lib/python3.10/unittest/result.py first seen with mtime 1678445728.0
DEBUG 2023-05-07 20:35:33,287 autoreload File /usr/lib/python3.10/importlib/_adapters.py first seen with mtime 1678445728.0
DEBUG 2023-05-07 20:35:33,288 autoreload File /home/sorour/.local/lib/python3.10/site-packages/django/core/wsgi.py first seen with mtime 1680074303.5202138
DEBUG 2023-05-07 20:35:33,288 autoreload File /home/sorour/.local/lib/python3.10/site-packages/django/contrib/admin/migrations/0002_logentry_remove_auto_add.py first seen with mtime 1680074303.010214
DEBUG 2023-05-07 20:35:33,289 autoreload File /home/sorour/.local/lib/python3.10/site-packages/django/db/migrations/__init__.py first seen with mtime 1680074303.5502138
DEBUG 2023-05-07 20:35:33,290 autoreload File /home/sorour/.local/lib/python3.10/site-packages/django/contrib/admin/helpers.py first seen with mtime 1680074302.9002142
DEBUG 2023-05-07 20:35:33,291 autoreload File /home/sorour/.local/lib/python3.10/site-packages/django/db/migrations/operations/fields.py first seen with mtime 1680074303.5502138
DEBUG 2023-05-07 20:35:33,291 autoreload File /usr/lib/python3.10/asyncio/threads.py first seen with mtime 1678445728.0
DEBUG 2023-05-07 20:35:33,292 autoreload File /home/sorour/.local/lib/python3.10/site-packages/django/contrib/staticfiles/management/commands/__init__.py first seen with mtime 1680074303.5202138
DEBUG 2023-05-07 20:35:33,293 autoreload File /home/sorour/.local/lib/python3.10/site-packages/django/core/checks/security/csrf.py first seen with mtime 1680074303.5202138
DEBUG 2023-05-07 20:35:33,294 autoreload File /home/sorour/.local/lib/python3.10/site-packages/jinja2/defaults.py first seen with mtime 1680075948.4597535
DEBUG 2023-05-07 20:35:33,294 autoreload File /usr/lib/python3.10/calendar.py first seen with mtime 1678445728.0
DEBUG 2023-05-07 20:35:33,295 autoreload File /usr/lib/python3.10/email/feedparser.py first seen with mtime 1678445728.0
DEBUG 2023-05-07 20:35:33,298 autoreload File /mnt/c/Users/moham/Desktop/MarketX/MarketX-backend/ecommerce_api_project/my_ecommerce_api/admin.py first seen with mtime 1683379807.2193177
DEBUG 2023-05-07 20:35:33,299 autoreload File /usr/lib/python3/dist-packages/yaml/serializer.py first seen with mtime 1611178924.0
DEBUG 2023-05-07 20:35:33,299 autoreload File /home/sorour/.local/lib/python3.10/site-packages/django/db/migrations/executor.py first seen with mtime 1680074303.5502138
DEBUG 2023-05-07 20:35:33,300 autoreload File /usr/lib/python3/dist-packages/chardet/big5prober.py first seen with mtime 1491933093.0
DEBUG 2023-05-07 20:35:33,301 autoreload File /home/sorour/.local/lib/python3.10/site-packages/django/contrib/admin/templatetags/log.py first seen with mtime 1680074303.040214
DEBUG 2023-05-07 20:35:33,301 autoreload File /usr/lib/python3.10/email/mime/text.py first seen with mtime 1678445728.0
DEBUG 2023-05-07 20:35:33,302 autoreload File /usr/lib/python3/dist-packages/urllib3/packages/ssl_match_hostname/__init__.py first seen with mtime 1622048489.0
DEBUG 2023-05-07 20:35:33,303 autoreload File /usr/lib/python3/dist-packages/chardet/euctwprober.py first seen with mtime 1605650645.0
DEBUG 2023-05-07 20:35:33,304 autoreload File /home/sorour/.local/lib/python3.10/site-packages/django/utils/regex_helper.py first seen with mtime 1680074303.5902138
DEBUG 2023-05-07 20:35:33,304 autoreload File /home/sorour/.local/lib/python3.10/site-packages/django/contrib/postgres/forms/hstore.py first seen with mtime 1680074303.360214
DEBUG 2023-05-07 20:35:33,305 autoreload File /usr/lib/python3.10/json/decoder.py first seen with mtime 1678445728.0
DEBUG 2023-05-07 20:35:33,308 autoreload File /home/sorour/.local/lib/python3.10/site-packages/django/templatetags/l10n.py first seen with mtime 1680074303.5802138
DEBUG 2023-05-07 20:35:33,308 autoreload File /usr/lib/python3.10/xml/dom/xmlbuilder.py first seen with mtime 1678445728.0
DEBUG 2023-05-07 20:35:33,309 autoreload File /home/sorour/.local/lib/python3.10/site-packages/django/db/models/base.py first seen with mtime 1680074303.5502138
DEBUG 2023-05-07 20:35:33,310 autoreload File /home/sorour/.local/lib/python3.10/site-packages/rest_framework_simplejwt/utils.py first seen with mtime 1680076367.4496355
DEBUG 2023-05-07 20:35:33,310 autoreload File /usr/lib/python3/dist-packages/yaml/emitter.py first seen with mtime 1611178924.0
DEBUG 2023-05-07 20:35:33,311 autoreload File /home/sorour/.local/lib/python3.10/site-packages/django/db/migrations/utils.py first seen with mtime 1680074303.5502138
DEBUG 2023-05-07 20:35:33,312 autoreload File /home/sorour/.local/lib/python3.10/site-packages/django/db/models/fields/__init__.py first seen with mtime 1680074303.5602138
DEBUG 2023-05-07 20:35:33,313 autoreload File /home/sorour/.local/lib/python3.10/site-packages/django/contrib/admin/templatetags/admin_modify.py first seen with mtime 1680074303.040214
DEBUG 2023-05-07 20:35:33,313 autoreload File /home/sorour/.local/lib/python3.10/site-packages/idna/core.py first seen with mtime 1680075947.3597538
DEBUG 2023-05-07 20:35:33,314 autoreload File /home/sorour/.local/lib/python3.10/site-packages/django/contrib/contenttypes/forms.py first seen with mtime 1680074303.150214
DEBUG 2023-05-07 20:35:33,315 autoreload File /usr/lib/python3.10/asyncio/base_tasks.py first seen with mtime 1678445728.0
DEBUG 2023-05-07 20:35:33,315 autoreload File /usr/lib/python3/dist-packages/cryptography/hazmat/primitives/ciphers/base.py first seen with mtime 1629825437.0
DEBUG 2023-05-07 20:35:33,316 autoreload File /usr/lib/python3/dist-packages/requests/certs.py first seen with mtime 1608147266.0
DEBUG 2023-05-07 20:35:33,317 autoreload File /usr/lib/python3/dist-packages/urllib3/request.py first seen with mtime 1624806138.0
DEBUG 2023-05-07 20:35:33,317 autoreload File /usr/lib/python3/dist-packages/cryptography/hazmat/primitives/_serialization.py first seen with mtime 1648237726.0
DEBUG 2023-05-07 20:35:33,318 autoreload File /home/sorour/.local/lib/python3.10/site-packages/django/contrib/contenttypes/models.py first seen with mtime 1680074303.150214
DEBUG 2023-05-07 20:35:33,319 autoreload File /usr/lib/python3.10/email/_parseaddr.py first seen with mtime 1678445728.0
